"";"Social";"Economico";"Ambiental";"Geral"
"3243514174";0,9;0;0,7;0,533333333333333
"3243507137";0,9;0,7;0,4;0,666666666666667
"3243501122";0,6;0,5;0,5;0,533333333333333
"3243491273";0,7;0,7;0,7;0,7
"3243481247";0,7;0,4;0,6;0,566666666666667
"3243451046";0,4;0;0,4;0,266666666666667
"3243443372";0,4;0,5;0,6;0,5
"3243433396";0,6;0,1;0,6;0,433333333333333
"3243424851";0,2;0,3;0,2;0,233333333333333
"3243422278";0;0;0;0
"3243415187";0,8;0,3;0,4;0,5
"3243393085";0,8;0,4;0,6;0,6
"3243382302";0,8;0,6;0,4;0,6
"3243372427";0,7;0,2;0,6;0,5
"3243361603";0,6;0,6;0,6;0,6
"3243337282";0,6;0,3;0,5;0,466666666666667
"3243312480";0,6;0;0,7;0,433333333333333
"3243299888";0,6;0,4;0,7;0,566666666666667
"3243291547";0,6;0,2;0,3;0,366666666666667
"3243262837";0;0;0;0
"3243218726";0,4;0,3;0,4;0,366666666666667
"3243191894";0,7;0,3;0,8;0,6
"3243181057";0,4;0,5;0,6;0,5
"3243129583";0,4;0,2;0,5;0,366666666666667
"3243111109";0,7;0,1;0,7;0,5
"3243094088";0,5;0,1;0,6;0,4
"3243079010";0,8;0,1;0,6;0,5
"3243067786";0,6;0,1;0,4;0,366666666666667
"3243046321";0,7;0,3;0,8;0,6
"3243031763";0,7;0,9;0,6;0,733333333333333
"3242994277";0,5;0;0,5;0,333333333333333
"3242979528";0,4;0,1;0,6;0,366666666666667
"3242970774";0,6;0,1;0,8;0,5
"Total";0,572727272727273;0,281818181818182;0,527272727272727;0,460606060606061
