"";"Social";"Economico";"Ambiental";"Geral"
"3198429997";0,8;0,5;0,4;0,566666666666667
"3198417436";0,6;0,1;0,5;0,4
"3198400851";0,6;0,2;0,4;0,4
"3198319729";0,6;0,2;0,6;0,466666666666667
"3198299644";0,6;0,2;0,8;0,533333333333333
"3198278061";0,5;0,1;0,5;0,366666666666667
"3198243763";0,6;0,1;0,5;0,4
"3198217693";0,6;0,1;0,6;0,433333333333333
"3198193121";0,4;0,1;0,5;0,333333333333333
"3198172779";0,5;0,1;0,5;0,366666666666667
"3197673722";0,2;0,1;0,5;0,266666666666667
"3197651838";0,7;0,1;0,4;0,4
"3197632105";0,6;0,1;0,9;0,533333333333333
"3197610937";0,8;0;0;0,266666666666667
"3197552646";0,4;0;0,4;0,266666666666667
"3197274960";0,6;0,6;0,7;0,633333333333333
"3197271471";0,9;0,4;0,5;0,6
"3197256622";0,7;0,4;0,6;0,566666666666667
"3197252794";0,7;0,5;0,6;0,6
"3197248341";0,7;0,3;0,8;0,6
"3197245515";0,8;0,2;0,2;0,4
"3197237791";0,8;0,7;0,5;0,666666666666667
"3197229543";0,8;0,6;0,8;0,733333333333333
"3197225281";0,7;0,6;0,7;0,666666666666667
"3197222133";0,6;0,1;0,5;0,4
"3197216339";0,9;0,7;0,8;0,8
"3197211185";0,6;0,5;0,6;0,566666666666667
"3197207915";0,4;0;0;0,133333333333333
"3196232479";0,5;0;0,7;0,4
"3196205104";0,7;0;0,3;0,333333333333333
"3196184253";0,5;0,1;0,5;0,366666666666667
"3196167838";0,5;0,2;0,5;0,4
"3196155479";0,7;0,2;0,5;0,466666666666667
"3196141921";0,7;0;0,4;0,366666666666667
"3196122072";0,4;0,1;0,7;0,4
"3196107474";0,4;0,1;0,2;0,233333333333333
"3196092013";0,6;0,2;0,4;0,4
"3196090331";0,6;0;0,7;0,433333333333333
"3196085390";0,2;0;0,2;0,133333333333333
"3196078022";0,7;0,5;0,5;0,566666666666667
